Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
ITGA2	0.845	1.041	0.699	1.000	0.903	0.699	0.301	0.778	0.845	0.602	1.000		1.041	0.954	0.845	1.000	0.903	0.845	1.041	0.699	0.778	0.954	1.079	0.699	1.041	1.041	0.845	0.845	0.845	0.903	0.903	0.602	0.699	0.778	0.778	0.778	0.903	1.000	0.477	0.778	0.602	0.845	0.778	1.079	
ITGA3	1.519	1.724	1.672	1.857	1.672	1.690	1.792	1.778	1.643	1.740	1.519	1.792	1.708	1.799	1.724	1.806	2.083	1.643	1.663	1.748	1.724	1.462	1.799	1.708	1.602	1.806	1.740	1.826	1.568	1.756	1.833	1.380	1.580	1.681	1.519	1.857	1.792	1.771	1.255	1.724	1.903	1.591	1.820	1.771	
ITGA4	0.477			1.114	0.000	0.602	0.778	0.477	0.602	0.602		0.301	0.301	0.000	0.699	0.477	0.778			0.699			1.079				0.903			0.000	0.000			0.000	0.000	0.301		0.000		0.602	0.778		0.301	0.845	
ITGA5	1.079	1.230	1.230	1.301	1.230	1.230	1.362	1.322	1.301	1.447	1.342	1.477	1.322	1.544	1.204	1.398	1.491	1.255	1.114	1.398	1.255	1.146	1.462	1.362	0.954	1.398	1.079	1.322	1.279	1.204	1.230	0.954	1.204	1.342	1.146	1.176	1.230	1.279	0.903	1.322	1.362	1.431	1.431	1.398	
ITGA6	1.079	0.903	1.204	1.342	1.204	1.146	1.146	1.279	1.146	1.114	1.000	1.176	1.079	1.146	1.146	1.322	1.230	1.230	1.000	1.146	1.380	0.845	0.903	1.114	1.255	0.845	1.204	1.041	1.114	1.079	1.176	0.845	1.301	1.114	0.954	1.146	1.279	1.000	0.903	1.255	1.279	1.322	1.079	1.176	
ITGA7	0.301	0.699	0.699	0.477	0.301	0.000	0.602	0.477	0.602	0.602	0.477	0.699	0.699	0.699	0.000	0.778	0.954	0.000	0.602	0.602			0.301	0.477				0.301	0.477	0.699	0.477			0.903	0.000	0.477	0.602	0.778		0.903	0.602	0.903	0.778	0.477	
ITGA9	0.000		0.602	0.778	0.301	0.301	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.000	0.602		0.477		0.000	0.477	0.000		0.778	0.477	0.477	0.477	0.477	0.000	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.602	0.000		0.477	0.477	0.477	0.301	0.477	
ITGAL	0.477		0.000	0.000	0.000	0.000	0.000	0.000	0.699		0.602	0.477								0.602			0.301				0.301	0.000	0.000			0.301	0.301		0.301	0.000		0.000		0.301	0.477	0.000		0.000	
ITGAM	1.380	1.342	1.380	1.568	1.505	1.568	1.623	1.580	1.580	1.519	1.633	1.568	1.491	1.398	1.531	1.447	1.477	1.398	1.362	1.568	1.415	1.322	1.568	1.544	1.342	1.362	1.568	1.447	1.633	1.342	1.505	1.380	1.447	1.415	1.447	1.322	1.477	1.322	1.204	1.544	1.568	1.398	1.531	1.591	
ITGAV	1.362	1.362	1.491	1.544	1.462	1.477	1.556	1.681	1.556	1.771	1.362	1.643	1.505	1.623	1.519	1.613	1.672	1.568	1.544	1.568	1.462	1.176	1.623	1.431	1.362	1.519	1.398	1.519	1.362	1.491	1.505	1.301	1.322	1.505	1.505	1.462	1.477	1.431	1.114	1.613	1.633	1.301	1.544	1.568	
ITGAX	1.279	0.954	1.114	1.301	1.279	1.146	1.279	0.845	1.230	1.279	1.079	1.230	1.176	1.041	1.041	1.000	1.041	1.114	1.114	1.146	0.699	0.903	1.255	1.041	0.301	1.114	1.301	1.114	0.903	1.146	1.230	1.204	1.079	0.954	1.204	1.322	1.114	1.146	1.041	1.041	1.204	0.778	1.114	1.301	
ITGB1	1.322	1.380	1.580	1.279	1.342	1.255	1.602	1.613	1.322	1.568	1.342	1.613	1.342	1.740	1.322	1.505	1.699	1.462	1.380	1.230	1.591	1.146	1.342	1.342	1.279	1.505	1.176	1.279	1.279	1.398	1.431	1.079	1.342	1.643	1.255	1.342	1.279	1.380	1.041	1.462	1.699	1.519	1.415	1.623	
ITGB2	1.380	1.380	1.477	1.447	1.431	1.380	1.462	1.362	1.505	1.431	1.531	1.477	1.431	1.398	1.362	1.415	1.322	1.255	1.146	1.462	1.415	1.301	1.544	1.398	1.322	1.380	1.531	1.342	1.447	1.380	1.477	1.279	1.415	1.362	1.380	1.342	1.491	1.301	1.176	1.491	1.398	1.380	1.415	1.505	
ITGB3	0.301	0.477	0.778	1.000	0.301	0.477	1.000	1.204	0.845	0.845	0.699	0.954	0.477		0.477	0.778	0.699	0.602	0.699	0.778		0.602	0.903	0.778	0.699	0.778	0.301	0.000	0.845	0.477	0.699	0.000	0.602	0.000	0.301	0.000	0.778	0.477	0.602	0.477		0.778	0.778	0.954	
ITGB4	0.778	0.699	1.041	1.000	0.845	0.903	0.778	1.079	0.699	0.954	0.699	0.602	1.000	0.903	1.041	1.000	1.079	0.845	0.699	0.602	1.000		0.954	0.699	0.699	0.845	0.954	0.602	0.903	0.602	0.903		0.699	0.903	0.845	0.845	1.114	0.954	0.301	1.041	0.954	0.845	0.778	0.903	
ITGB6	0.477	0.000		0.845	0.477			0.954		0.477		0.301	0.602	0.000		0.778	0.477		1.000	0.000	0.477	0.477	0.699		0.000	0.903		0.477	0.000	0.477		0.699		0.477	0.477	0.903	0.477		0.301	0.301	0.778		0.602		
ITGB8	0.602	0.477	0.602	0.301	0.845	0.903	0.845	0.903	0.778		0.301	0.699	0.301		0.778		0.602	0.477	0.845	0.954		0.301	0.602	0.903	0.301	0.699	0.954	0.477		0.602	0.845	0.477		0.301	0.699	0.778	0.602	0.954	0.477	0.602	0.477	0.778	0.699	0.903	
ITIH1	0.602	0.301	0.699	1.114	0.845	1.301	1.447	1.230	1.146	1.204	1.342	1.322	1.079	0.477	1.415	0.903	1.146	1.041	0.778	0.954	0.845	0.000	1.301	1.491	1.204	1.146	1.322	0.699	1.176	0.000	0.000	0.301	1.000	1.176	1.176	0.903	0.954	0.301	0.477	1.362	1.114	0.903	1.301	1.301	
ITIH2	0.903	0.602	1.000	0.602	1.000	1.000	0.903	0.778	1.114	1.000	1.079	0.845	0.903	0.954	0.954	0.954	0.699	0.954	0.954	1.079	0.954	0.903	0.903	1.079	0.954	0.903	1.000	0.699	1.114	0.903	0.845	0.954	0.903	0.778	1.079	0.903	0.954	0.699	1.000	0.903	0.845	1.114	1.079	1.041	
ITIH3	1.146	1.079	0.778	1.380	1.079	1.322	1.322	1.342	1.176	1.114	1.255	1.279	1.301	1.230	1.447	1.255	1.204	1.114	1.114	1.204	1.230	1.079	1.301	1.301	0.954	0.903	1.301	1.041	1.176	0.954	1.114	1.114	0.778	1.176	1.204	1.176	1.176	1.000	0.477	1.255	1.176	1.146	0.845	1.204	
ITIH4	1.041	0.954	0.903	1.544	0.903	1.505	1.505	1.380	1.462	1.204	1.415	1.301	1.398	1.000	1.556	1.146	1.362	1.114	1.176	1.362	1.079	0.602	1.398	1.431	1.230	1.079	1.415	0.845	1.447	0.778	1.079	0.301	0.954	1.255	1.447	1.000	1.204	0.699	0.477	1.301	1.342	1.114	1.255	1.255	
ITIH5	0.602	0.000	0.602	0.903	0.477	0.778	0.477	0.699	0.602	0.778	0.845	1.146	0.602	0.000	0.602	0.699	0.301	0.301					0.903	0.477	0.602	0.301	1.176	0.602	0.477	0.602			0.000	0.000		0.000			0.000	0.778	1.146	1.000	1.079	0.699	
JCHAIN	1.079	0.954	1.000	0.954	0.954	0.954	1.000	1.079	0.954	0.954	0.954	1.176	0.903	0.903	0.954	1.079	0.954	1.000	0.903	0.954	1.000	0.699	1.079	1.000	1.000	0.845	0.903	1.041	0.954	0.903	1.000	0.845	1.000	1.000	0.954	0.954	1.000	0.954	0.602	1.114	1.079	0.903	0.954	1.041	
KDELC1		0.301	0.699	0.301			0.477	0.477		0.000	0.301	0.477	0.000	0.602	0.477	0.301	0.301	0.301	0.000			0.000	0.477			0.000	0.301	0.000	0.301	0.000	0.477			0.000	0.000	0.301	0.301			0.000	0.477		0.000	0.477	
KDELC2	1.041	1.255	1.176	1.146	1.230	1.114	1.301	1.146	1.114	1.279	1.000	1.079	1.114	1.079	1.176	0.845	1.114	1.079	1.146	1.204	1.114	1.000	1.041	0.954	0.954	1.041	1.176	1.114	1.146	1.146	1.146	1.079	0.954	1.146	1.079	1.204	1.114	1.114	1.000	1.114	1.114	1.041	1.041	1.342	
KIAA0319L	0.699		0.477	0.602	0.000	0.477	0.301	0.301	0.000		0.477	0.477	0.699			0.000	0.477	0.845		0.903			0.602	0.000	0.000	0.301	0.477		0.000		0.000		0.699	0.903	0.000	0.000	0.699	0.000		0.301				0.845	
KIAA1161	0.000	0.699		0.778	0.477			0.699		0.301						0.000		0.000	0.477		0.602	0.602					0.301	0.699		0.602	0.477	0.477		0.602		0.903	0.778	0.477		0.301	0.301				
KIAA1324	0.477	0.477	0.000	0.000	0.477			0.699		0.477						0.301	0.000	0.301	0.477	0.602	0.477		0.301	0.602	0.602			0.477	0.699	0.477	0.477		0.699	0.477		0.000	0.477			0.954		0.602		0.602	
KIRREL1		0.477	0.477	0.778	0.301	0.000	0.477	0.477	0.477	0.301	0.477	0.602	0.477	0.477		0.699	0.903	0.301		0.477	0.477	0.000	0.477	0.000	0.477	0.477	0.477	0.301	0.477	0.477	0.477		0.477	0.602				0.301	0.602	0.301	0.301	0.477	0.301	0.699	
KLK5			0.301		0.000		0.301	0.602			0.000	0.000		0.000	0.000	0.301	0.477			0.477													0.000			0.000		0.845			0.301	0.000			
KLKB1	0.954	0.778	1.000	1.255	1.041	1.204	1.301	1.255	1.255	1.114	1.230	1.301	1.230	1.079	1.255	1.114	1.342	1.146	1.146	1.279	1.255	1.041	1.204	1.431	1.255	0.954	1.114	0.954	1.362	0.778	0.954	1.000	1.114	1.255	1.146	1.000	1.000	1.114	0.954	1.279	1.230	0.903	1.176	1.204	
KNG1	1.756	1.531	1.623	1.724	1.672	1.591	1.708	1.792	1.716	1.771	1.681	1.869	1.820	1.653	1.633	1.716	1.778	1.690	1.785	1.716	1.699	1.505	1.806	1.716	1.690	1.431	1.699	1.531	1.672	1.613	1.602	1.633	1.580	1.799	1.792	1.602	1.672	1.462	1.301	1.806	1.857	1.544	1.690	1.556	
KRT18	1.041	0.954	0.000	0.477	1.279	1.204	0.301		0.000		0.000		0.000		0.778			1.176	0.845	0.477		0.778		0.602				1.230	1.000	0.602	1.491	0.778	0.000	1.322	0.477	1.041	1.591	0.903	1.204	0.699			1.380	1.322	
KRT19	0.602	1.000		0.000	1.279	1.415	0.000				0.477		0.000		0.699			1.322	1.204	0.000	0.477	1.079						0.903	1.041	0.602	1.255	0.903		0.954	0.000	1.279	1.362	0.954	1.079	0.954			1.415	0.699	
KRT7	0.903	0.954	0.000	0.301	1.041	1.146	0.602	0.699	0.000		0.602	0.477			0.301	0.301	0.477	1.279	0.699	0.477	0.477	0.903	0.477	0.477		0.000	0.301	0.778	1.079	0.903	1.279	0.301	0.477	1.000	0.477	1.041	1.000	1.079	1.000	0.954	0.602	0.301	1.041	1.079	
KRT8	1.146	1.176	0.000	0.903	1.544	1.447	0.903	0.903	0.602		0.778	0.699		0.000	0.778	0.845	0.778	1.491	1.176	0.778	0.477	1.079	0.602	0.845		0.000	0.301	1.301	1.255	1.176	1.633	0.903	0.778	1.477	0.477	1.415	1.708	1.380	1.301	1.146	0.903	0.301	1.623	1.398	
L1CAM	0.699	1.041	1.041	1.690	0.699	1.146	1.613	1.230	1.176	1.462	1.114	1.079	1.362	1.079	1.342	0.778	1.146		0.903	1.041	1.255	0.301	1.415	1.000	1.041	0.778	1.176	1.230	0.699	0.845	0.477	0.778	0.477	1.544	1.000	0.778	1.000	0.845	0.778	1.114	1.176	0.954	1.114	1.146	
LAIR1	0.699		0.602	0.845	0.778	0.778	0.778	0.699	0.778	0.903	0.699	0.699	0.699	0.699	0.778	0.778	0.602	0.699	0.000	0.778	0.699	0.000	0.954	0.699	0.602	0.477	0.699	0.477	0.699	0.477	0.602	0.000	0.778	0.602	0.602	0.301	0.602	0.000		0.778	0.778	0.845	0.602	0.778	
LAMA1		0.699	0.602		0.000	0.000	0.903	0.602	0.699	1.255	0.477	0.000	0.602	0.301	0.954	0.000	0.602	1.230		0.778	0.000		0.477	0.778	0.903		1.114	0.000	1.000	0.301	0.477	0.000	1.114	1.362	0.602	0.903		0.000		0.845	0.778		0.477	0.000	
LAMA2	0.477					0.301	1.176			0.000	0.699		0.477	0.000	0.699		0.845		0.000	0.477			0.477		0.903		0.000		1.000	0.000	0.602		1.176	0.778	0.477					0.000		0.301	0.000		
LAMA3	1.398	1.362	1.279	1.415	1.204	1.447	1.204	1.342	1.415	1.230	1.531	0.954	1.462	1.301	0.845	1.491	1.519	1.146	1.255	1.146	1.681	1.362	1.653	1.398	1.230	1.230	1.519	1.398	0.903	1.431	1.415	1.146	1.176	1.398	1.462	1.342	0.602	1.519	0.903	1.462	1.653	1.301	0.954	1.204	
LAMA4	1.114	0.954	1.176	1.531	1.079	1.544	1.380	1.362	1.505	1.431	1.301	1.462	1.477	1.477	1.505	1.519	1.519	1.079	1.079	1.531	1.301	1.041	1.531	1.342	1.431	1.301	1.322	0.954	1.491	1.176	1.146	1.041	1.342	1.114	0.954	1.279	1.204	1.114	1.114	1.447	1.544	1.447	1.491	1.380	
LAMA5	1.724	1.724	1.613	1.924	1.613	1.799	1.724	1.826	1.690	1.663	1.732	1.732	1.708	1.740	1.869	1.716	1.886	1.653	1.839	1.792	1.699	1.415	1.690	1.799	1.763	1.519	1.863	1.591	1.556	1.681	1.591	1.447	1.690	1.748	1.699	1.806	1.732	1.663	1.322	1.653	1.813	1.653	1.633	1.763	
LAMB1	1.079	1.114	1.204	1.362	1.114	1.176	1.079	1.301	1.146	1.279	1.114	1.380	1.146	1.255	1.230	1.255	1.398	1.079	1.041	1.279	1.176	0.602	1.322	1.146	1.079	1.041	0.845	0.954	1.176	0.954	1.204	1.041	1.041	1.301	1.114	1.176	1.146	1.255	0.778	1.255	1.204	1.176	1.176	1.176	
LAMB2	1.491	1.398	1.322	1.491	1.415	1.531	1.380	1.505	1.415	1.505	1.362	1.505	1.462	1.431	1.491	1.462	1.491	1.380	1.279	1.415	1.505	1.079	1.447	1.362	1.342	1.255	1.580	1.204	1.362	1.447	1.380	1.114	1.301	1.447	1.380	1.519	1.362	1.380	1.000	1.531	1.544	1.447	1.362	1.544	
LAMB3	0.000	0.000	0.301			0.000					0.000					0.000	0.477		0.301		0.845			0.000	0.778	0.000					0.000										0.699	0.301			
LAMC1	1.633	1.602	1.690	1.740	1.663	1.681	1.672	1.690	1.732	1.732	1.681	1.763	1.690	1.623	1.663	1.623	1.806	1.591	1.544	1.699	1.613	1.519	1.643	1.643	1.708	1.653	1.756	1.672	1.663	1.602	1.613	1.591	1.663	1.820	1.568	1.643	1.633	1.732	1.580	1.643	1.792	1.724	1.716	1.699	
LAMC2	0.778	0.602	0.699	1.000	0.699	1.041	1.000	0.954	0.778	0.954	0.778	0.954	0.845	0.954	0.954	0.903	1.146	0.602	0.903	0.477	1.041	0.301	0.954	1.000	0.903	0.845	1.176	0.602	0.903	0.778	0.903	0.301	0.301	0.903	0.778	1.000	0.699	0.477	0.903	1.000	1.279	0.699	0.778	1.041	
LAMP1	1.851	1.869	1.756	2.049	1.845	1.845	1.949	2.079	1.845	2.013	1.881	1.968	1.929	1.908	1.914	1.908	2.093	1.839	1.839	1.857	1.940	1.708	1.919	1.806	1.799	1.833	2.057	1.845	1.792	2.093	1.919	1.778	1.778	1.785	1.820	1.863	1.771	1.857	1.690	1.924	2.104	1.771	1.826	2.017	
LAMP2	1.643	1.591	1.672	2.000	1.672	1.756	1.929	1.944	1.813	1.886	1.740	1.806	1.633	1.792	1.699	1.991	1.869	1.716	1.699	1.857	1.833	1.633	1.732	1.763	1.672	1.732	1.903	1.708	1.568	1.792	2.130	1.477	1.863	1.763	1.756	1.740	1.748	1.519	1.633	1.724	1.813	1.681	1.708	1.845	
LAMP3	0.477	0.477	0.477	0.903	0.477	0.477	0.477		0.477	0.477	0.477		0.477		0.301			0.477	0.477	0.477		0.000		0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477		0.477	0.477	0.477	
LASP1	0.602												0.000																																
LCN2	0.602	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.699	0.699	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.903	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	
LCOR									0.000															0.000				0.000									0.000			0.000			0.301		
LDHA	0.000	0.000		0.000	0.778	0.602	0.602	0.301							0.301		0.000	0.778	0.301			1.079	0.000						0.602	0.301	0.845			0.954		0.477	0.845	0.000	0.903	0.000	0.301		1.230	0.477	
LDHB		0.845			0.903	0.699	0.000					0.000						1.079	0.000			0.602						0.000	0.954	0.778	0.699			1.146		0.699	0.699	0.699	0.845	1.000	0.301		0.954	0.477	
LGALS1	0.301	0.845			0.699	0.602												0.778	0.301			0.699						0.000	0.778	0.778	0.778			0.000	0.000	0.699	0.699	0.778	0.778	0.602			1.041	0.000	
LGALS3BP	1.613	1.491	1.732	1.919	1.663	1.663	1.716	1.959	1.845	1.898	1.806	1.908	1.681	1.863	1.591	1.869	1.839	1.477	1.623	1.771	1.820	1.690	1.740	1.820	1.748	1.740	1.845	1.491	1.477	1.531	1.613	1.568	1.778	1.663	1.663	1.505	1.580	1.643	1.431	1.806	2.025	1.785	1.756	1.833	
LGMN	1.041	0.903	1.041	1.342	0.845	1.176	1.176	1.230	1.079	1.204	1.000	1.146	1.041	1.255	1.204	1.114	1.146	0.954	0.903	1.041	1.079	1.114	1.146	1.000	0.845	1.204	1.041	0.903	0.954	1.041	1.041	0.954	1.114	1.176	1.000	0.954	1.041	0.845	0.602	1.079	1.279	1.000	1.041	1.176	
LIFR				0.602		0.000			0.477			0.301	0.301							0.477	0.000		0.000								0.699			0.000				0.000			0.477	0.000			
LINGO1				1.230				0.477			0.000							0.000					0.477				0.000																		
LIPA	0.903	0.699	1.041	1.230	0.602	0.903	1.041	1.000	1.230	1.000	1.079	0.301	0.954	0.778	0.778	1.000	0.954	0.602	0.778	1.079	1.000	0.699	1.146	0.954	1.204	0.903	1.079	0.699	0.845	0.845	0.845	0.845	1.447	0.845	0.699	0.699	0.903	0.845	0.699	0.903	0.602	0.903	1.114	0.903	
LMAN2	0.845	0.903	1.041	1.322	1.079	1.079	1.041	1.380	1.146	1.079	1.146	1.079	1.079	0.954	1.146	1.146	1.342	0.778	1.000	1.176	1.176	1.000	1.279	1.114	1.204	1.176	1.114	1.079	0.954	0.778	0.954	0.301	0.954	1.114	1.146	1.114	1.000	1.000	0.954	1.041	1.322	1.041	0.954	1.301	
LMAN2L	0.699	0.477	0.477	0.903	0.699	0.477	0.778	0.845	0.477	0.477	0.477		0.477	0.477	0.602	0.477		0.602	0.845	0.477	0.477	0.477		0.477	0.602	0.477	0.778	0.602	0.477	0.602	0.699	0.602	0.477	0.845	0.778	0.699	0.699	0.301	0.778	0.477		0.477	0.477	0.778	
LMBRD1	0.477		1.000	0.699		0.000			0.477	0.301	0.845	0.301	0.602	0.778	0.301	0.000	0.000		0.301	0.845	0.778		0.301	0.477	0.602	0.477		0.000	0.301	0.000	0.602	0.602	0.903	0.000	0.301	0.602	0.602	0.301	0.477	0.602	0.602	0.602	0.301		
LMF2	0.477	0.699	0.778	0.699	0.477	0.477	0.699	0.699	0.778	0.699	0.477	0.477	0.477	0.602	0.845	0.477	0.477	0.477	0.477	0.602	0.477	0.477		0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.602	0.477	0.699	0.477	0.477	0.477	0.602	
LMNA	0.477	0.699		0.699	0.778	1.176		0.301		0.000			0.000	0.477	0.477	0.778	0.000	0.903	0.477		0.699	1.398	0.699		0.000	0.602		0.000	1.204	0.903	0.954			0.845		1.380	1.204	0.954	0.699	1.114	1.146	0.699	1.505	0.477	
LMNB1	0.000					0.000																							0.477						0.000		0.301							0.000	
LNPEP	1.041	1.000	1.176	1.580	1.146	1.362	1.398	1.643	1.462	1.643	1.000	1.544	1.362	1.415	1.322	1.447	1.732	1.176	1.146	1.477	1.279	0.778	1.633	1.362	1.230	1.079	1.230	0.778	1.146	0.903	1.301	0.000	1.114	1.491	1.301	1.322	1.255	1.230	0.903	1.531	1.580	1.204	1.519	1.477	
LOX		0.778	0.602	0.778	0.778	0.903	0.602	0.845	0.699	1.041		0.845	1.079	0.699	0.699	1.041	0.903	1.079		0.845		0.778	1.041	0.477	0.602	0.477	0.301	0.699	0.903	0.845	0.000			0.301	0.845	0.954	0.903	0.954		0.602	0.845		0.699	0.954	
LRG1	1.279	1.114	1.146	1.447	1.362	1.398	1.431	1.362	1.362	1.255	1.380	1.447	1.431	1.230	1.505	1.322	1.380	1.255	1.362	1.342	1.230	1.114	1.342	1.531	1.301	1.322	1.301	1.362	1.362	1.000	1.362	1.079	1.176	1.415	1.447	1.255	1.415	1.079	1.146	1.204	1.431	1.279	1.279	1.342	
LRIG1	0.477	0.778	0.602	0.954	0.602	0.602	0.477	0.954	0.778	0.699	0.602	0.778	0.602	0.699	0.477	0.845	0.778	0.301		0.301	0.699	0.602	0.845	0.477	0.000	0.301		0.000		0.903	0.699	0.301		0.602	0.477	0.699	0.602	0.954	0.301	0.699	0.699	0.301	0.477	0.301	
LRIG2	0.000	0.000			0.000												0.000											0.000						0.000		0.000	0.000	0.602						0.301	
LRP1	1.663	1.806	1.959	1.908	1.857	1.886	1.949	1.973	1.892	2.076	1.898	2.072	2.041	2.064	1.924	2.017	2.079	1.949	1.672	1.973	1.869	1.792	2.057	1.934	1.813	1.934	1.785	1.756	1.763	1.845	1.690	1.690	1.839	1.914	1.826	1.724	1.699	1.869	1.672	1.944	2.041	1.929	1.875	1.940	
LRP10	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.699	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.301	0.699	0.477	0.477	0.000	0.477	
LRP2							0.301											0.602				0.602												0.903										0.477	
LRPAP1	0.301	0.778	1.204	1.230	0.699	1.204	1.230	1.041	1.146	1.322	1.204	1.000	0.954	1.079	1.146	1.230	1.041	1.041	0.602	1.255	0.699		1.204	1.079	0.903	1.041	1.114	0.301	0.477	0.301	0.602		1.176	0.602	0.000	0.699	0.477	0.477	0.000	1.114	1.176	1.114	1.176	1.114	
LSAMP	0.301	0.301	0.301		0.000	0.903	0.000		0.602		0.301	0.301	0.602		0.301		0.301	0.477		0.602			0.602	0.477	0.301	0.477	0.477	0.477					0.477	0.000		0.301	0.699	0.477		0.000	0.301	0.477		1.176	
LTBP1	1.255	1.342	1.176	1.580	1.079	1.398	1.176	1.279	1.431	1.255	1.301	1.362	1.431	1.079	1.415	1.255	1.176	1.301	1.230	1.380	1.176	0.903	1.362	1.301	1.041	1.230	1.447	0.778	1.342	1.114	1.176	0.954	1.146	1.362	1.146	1.380	1.255	1.176	0.778	1.322	1.362	1.146	1.230	1.146	
LTBP2	0.903	0.954	0.954	0.778	0.602	0.477	1.204	0.602	0.477	1.079	1.079	0.778	0.903	0.903	0.845	0.477	0.699	0.903	0.778	0.699	1.000	0.778		0.477	0.903	0.845	0.602	0.778	0.903	0.845	0.301	0.477	0.903		0.602	1.000	0.778	0.845	0.301	0.954	0.845	1.000	0.602	0.602	
LTBP3			0.699				0.477	0.000		0.699	0.000	0.699		0.778		0.602	0.602	0.000			0.477			0.477	0.000	0.301							0.000	0.778						0.477	0.778	0.000	0.477		
LTBP4	0.778	0.602	0.903	0.699	0.477	0.845	1.000	0.903	0.778	0.954	0.778	1.000	0.845	0.778	0.699	0.845	0.954	0.301	0.699	0.699	0.954		0.845	0.845	0.778	0.477	0.699	0.000	0.845	0.602	0.000	0.000	0.954	0.954	0.602	0.602	0.301	0.000		0.903	0.903	0.845	0.778	0.903	
LTF	0.954	0.778	0.903	1.079	0.699	1.000	1.000	1.114	1.000	0.903	1.342	0.845	0.845	0.778	0.954	0.845	1.041	0.699	0.954	0.845	0.778	0.477	0.602	1.146	1.079	1.114	0.699	0.699	1.146	0.301	1.041	0.699	0.778	0.602	0.845	0.000	0.602	0.477	0.301	0.954	0.954	1.079	1.000	0.477	
LUM	1.531	1.740	2.143	2.342	1.633	2.442	2.398	2.279	2.360	2.173	2.086	2.358	2.170	2.217	2.389	2.182	2.431	1.771	1.447	2.531	1.944	1.556	2.427	2.401	2.127	2.146	2.292	1.643	2.241	1.623	1.716	1.447	2.241	1.898	1.799	1.477	1.591	1.663	1.653	2.207	2.450	2.223	2.305	2.149	
