Gene	POOL:09-1664-01A:61-2094-01A:25-1312-01A	POOL:13-1409-01A:24-1416-01A:29-1769-01A	POOL:13-1489-01A:13-1482-01A:13-1504-01A	POOL:13-1492-01A:36-2530-01A:25-2409-01A	POOL:13-1497-01A:OVARIAN-CONTROL.1:61-1995-01A	POOL:13-2065-01A:61-1918-01A:61-2613-01A	POOL:23-1122-01A:24-1464-01A:25-1322-01A	POOL:24-1103-01A:24-2289-01A:13-1511-01A	POOL:24-1431-01A:36-1570-01A:13-1488-01A	POOL:24-1435-01A:30-1887-01A:23-1121-01A	POOL:24-1436-01A:13-2061-01A:36-2537-01A	POOL:24-1474-01A:13-1501-01A:OVARIAN-CONTROL.2	POOL:24-1555-01A:24-1562-01A:25-1628-01A	POOL:24-1558-01A:29-1705-01A:OVARIAN-CONTROL.3	POOL:24-1920-01A:30-1891-01A:61-2008-01A	POOL:24-1927-01A:OVARIAN-CONTROL.4:36-2544-01A	POOL:24-2024-01A:29-1693-01A:13-1485-01A	POOL:24-2030-01A:29-1702-01A:24-2033-01A	POOL:24-2298-01A:24-1544-01A:61-1914-01A	POOL:25-1313-01A:29-1766-01A:24-2261-01A	POOL:25-1318-01A:36-2532-01A:13-2059-01A	POOL:25-2399-01A:29-1698-01A:09-2056-01B	POOL:29-1688-01A:13-1494-01A:13-1507-01A	POOL:29-1690-01A:25-1631-01A:13-1500-01A	POOL:29-1696-01A:29-1771-01A:13-2066-01A	POOL:29-1711-01A:13-1483-01A:24-1422-01A	POOL:29-1763-01A:25-2397-01A:29-2427-01A	POOL:29-1785-01A:61-2088-01A:25-1623-01A	POOL:36-1577-01A:29-1768-01A:36-1569-01A	POOL:36-2534-01A:OVARIAN-CONTROL.5:36-2549-01A	POOL:36-2547-01A:36-1578-01A:36-2542-01A	POOL:59-2351-01A:24-2290-01A:59-2348-01A	POOL:59-2352-01A:61-1915-01A:24-1565-01A	POOL:59-2372-01A:24-1548-01A:29-1762-01A	POOL:61-1727-01A:25-1323-01A:36-1580-01A	POOL:61-1741-01A:61-1911-01A:13-1404-01A	POOL:61-1907-01A:25-1329-01A:24-1557-01A	POOL:61-1910-01A:29-1770-01A:13-1410-01A	POOL:61-2087-01A:29-2431-01A:61-1724-01A	POOL:OVARIAN-CONTROL.10:29-1710-01A:36-1571-01A	POOL:OVARIAN-CONTROL.6:24-1553-01A:13-1487-01A	POOL:OVARIAN-CONTROL.7:25-2396-01A:36-2545-01A	POOL:OVARIAN-CONTROL.8:25-2404-01A:24-1430-01A	POOL:OVARIAN-CONTROL.9:29-1697-01A:13-2060-01A
MAN2B1	0.477	0.301	0.699	0.602	0.602	0.000	0.301	0.477	0.699	0.602	0.699	0.477	0.477	0.699	0.301	0.602	0.699	0.602	0.000	0.699	0.699	0.477	0.602	0.699	0.602	0.699	0.301	0.301	0.000	0.477	0.477	0.301	0.699	0.477	0.301	0.602	0.477	0.477	0.477	0.602	0.602	0.699	0.602	0.477	
MAN2B2	0.477	0.477	0.301	0.477	0.477	0.477	0.602	0.602	0.602	0.602	0.477	0.477	0.301	0.477	0.602	0.477	0.477	0.477	0.301	0.602	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.000	0.477	0.477	0.000	0.301	0.602	0.477	0.477	0.477	0.477	0.000	0.477	0.301	0.000	0.477	0.477	
MANBA										0.000											0.000										0.000													0.000	
MCAM	0.000	0.000	0.000	0.301	0.000	0.301	0.477	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.477	0.000	0.301	0.301	
MDH1					0.000																	0.301																	0.000				0.000		
MDH2	0.301	0.602		0.000	0.845	0.477	0.301	0.000	0.301			0.000			0.000		0.000	0.845	0.602	0.301	0.000	0.602	0.301				0.000	0.602	0.301	0.954	0.954			0.602		0.778	0.602	0.602	0.699	0.000	0.477		0.778	0.699	
MEGF8	0.301	0.301	0.000	0.301	0.301		0.301	0.301	0.301	0.301	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.477	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.000	
MET				0.301						0.000				0.000		0.000	0.000				0.000		0.000				0.000			0.000											0.000				
MFAP4	0.477	0.477	0.602	0.477	0.602	0.602	0.699	0.477	0.699	0.602	0.699	0.602	0.477	0.477	0.477	0.477	0.602	0.602	0.477	0.602	0.477	0.477	0.602	0.699	0.477	0.477	0.477	0.477	0.602	0.602	0.477	0.477	0.602	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.602	0.602	0.477	
MFAP5			0.000			0.000	0.000							0.000			0.000				0.000							0.000													0.000	0.000		0.000	
MFGE8	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.000		0.301	0.000	0.000	0.000	0.000	
MIA3	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.000	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301			0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.000	0.301		0.301	0.301	0.000	0.000	0.301	
MIF		0.000			0.000	0.000												0.000	0.000										0.000	0.000	0.301					0.000	0.301		0.301		0.000		0.301	0.000	
MINPP1		0.000	0.301	0.301		0.000	0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.301			0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301				0.000		0.301	0.301	0.301			0.000	0.000	0.000	0.301	0.000	0.301	0.301	
MME	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000		0.000	0.000		0.000	0.301	0.301	0.000		0.000	0.301	0.301	0.000	0.000		0.301	0.301			0.301	
MMP23B	0.000	0.301	0.000		0.000	0.000	0.301	0.000	0.000	0.301		0.000	0.301	0.000	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.000		0.000	0.000	0.000	0.301	0.000				0.000	0.000	0.000	0.301	0.000		0.000	0.000	0.000	0.000	0.000	
MMRN1	0.301	0.301	0.477	0.903	0.602	0.301	0.301	1.146	0.778	0.602	0.000	0.903	0.301	0.477	0.000	1.079	0.699	0.602	0.000	0.301	0.301	0.000	0.602	0.602	0.301	0.301	0.477		0.845	0.000	0.778	0.000	0.000	0.477	0.602	0.301	0.301	0.602		0.000	0.301	0.903	0.602	0.477	
MMRN2	0.699	0.602	0.477	0.845	0.699	0.778	0.778	0.845	0.778	0.699	0.778	0.699	0.699	0.699	0.778	0.778	0.602	0.301	0.602	0.778	0.699	0.699	0.778	0.845	0.903	0.477	0.845	0.602	0.477	0.699	0.602	0.699	0.602	0.778	0.301	0.602	0.602	0.699	0.699	0.778	0.778	0.699	0.602	0.699	
MOGS	0.000		0.000	0.301	0.000		0.301	0.301	0.000	0.301		0.301	0.000		0.000		0.301		0.000	0.301			0.301	0.000		0.301	0.000	0.000		0.000	0.000	0.000		0.301	0.000	0.000	0.000			0.000	0.301			0.000	
MOXD1				0.301										0.000	0.301	0.000				0.000			0.000																						
MPO	0.477	0.477	0.699	0.699	0.301	0.699	0.699	0.699	0.699	0.699	0.699	0.602	0.602	0.699	0.699	0.699	0.699	0.301	0.477	0.477	0.699	0.477	0.602	0.699	0.699	0.699	0.602	0.301	0.699	0.301	0.699	0.477	0.699	0.602	0.477	0.000	0.699	0.602	0.301	0.699	0.699	0.699	0.602	0.699	
MPZL1	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	
MPZL2	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.301	0.000	0.301	0.000	0.301	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.000	
MRC1	0.301	0.477	0.301		0.301	0.477	0.602	0.000	0.301			0.000		0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.699	0.301	0.000	0.477			0.000	0.000	0.000	0.000	0.301	0.699	0.477	0.477		0.000	0.477		0.301	0.301	0.477	
MRC2	0.301	0.477	0.602	0.778	0.477	0.602	0.602	0.845	0.602	0.845	0.477	0.778	0.699	0.778	0.699	0.778	0.954	0.477	0.301	0.477	0.699	0.301	0.699	0.477	0.602	0.699	0.477	0.477	0.301	0.477	0.477	0.301	0.699	0.699	0.301	0.301	0.301	0.699	0.477	0.602	0.778	0.699	0.778	0.602	
MSLN	0.602	0.602	0.602	0.602	0.699	0.699	0.699	0.602	0.699	0.778	0.602	0.602	0.602	0.602	0.602	0.602	0.699	0.699	0.602	0.602	0.602	0.602	0.602	0.699	0.602	0.602	0.778	0.602	0.602	0.602	0.477	0.602	0.602	0.602	0.602	0.699	0.602	0.602	0.602	0.699	0.699	0.699	0.602	0.602	
MSN		0.000			0.301	0.301	0.000											0.477	0.000			0.477						0.000	0.602	0.000	0.477	0.000				0.602	0.602	0.301	0.301				0.845	0.000	
MSR1	0.301	0.301	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.301	0.000	0.301	0.000	0.477	0.301	0.477	0.301	0.477	0.301	0.602	0.000	0.301	0.477	0.477	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.477	0.477	0.301	0.301	0.000	0.301	0.301	0.301	0.301	
MST1	0.000		0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.000		0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000		0.301	0.301	0.000	0.000	0.301		0.000	0.000	0.301	0.000	0.000	0.301	
MUC1	0.301	0.301	0.477	0.699	0.301	0.699	0.602	0.903	0.699	0.602	0.778	0.778	0.301	0.477	0.699	0.778	0.954	0.477	0.301	0.845	0.477	0.000	0.845	0.699	0.699	0.477	0.699	0.301	0.477	0.301	0.301	0.301	0.699	0.602	0.301	0.477	0.477	0.477	0.301	0.699	0.699	0.477	0.602	0.778	
MUC16	1.255	1.230	1.204	1.580	1.362	1.398	1.322	1.398	1.398	1.415	1.255	1.301	1.342	1.322	1.279	1.301	1.380	1.079	1.255	1.447	1.255	1.279	1.279	1.415	1.279	1.255	1.342	1.146	1.279	1.255	1.380	1.279	1.279	1.255	1.255	1.255	1.322	1.322	1.230	1.342	1.362	1.230	1.342	1.362	
MUC2										0.477							0.778		0.954				0.000																						
MUC4		0.602							0.301				0.000								0.301						0.000											1.000							
MUC5B	0.845			0.000		0.000			0.000									0.301				0.000		0.903	0.778		0.602		0.301		0.301		0.000		0.477		0.000								
MX1																																				0.000		0.000						0.000	
MXRA5	0.778	0.845	0.903	0.954	0.845	0.903	1.000	1.000	0.903	0.954	0.699	1.079	0.903	0.954	0.903	0.954	1.041	0.778	0.778	0.954	0.699	0.699	1.114	0.954	0.699	0.903	0.845	1.079	0.903	0.845	0.845	0.699	0.699	0.778	0.903	0.954	0.903	0.903	0.699	0.778	1.041	0.778	0.954	1.000	
MYH9	0.477	0.602			1.041	1.204	0.000					0.000			0.000			1.041	0.000			1.146					0.000	0.000	1.079	0.845	0.954	0.000		0.778		1.000	0.903	1.204	0.903	0.602	0.301		1.505	0.778	
MYL12A		0.000			0.301	0.000												0.000				0.000							0.000	0.000	0.000			0.000		0.000			0.301				0.602	0.000	
MYL6		0.000			0.000	0.477												0.301				0.477							0.477		0.301					0.477	0.000	0.000	0.301	0.000			0.699		
NAALADL2	0.000		0.000	0.477	0.000	0.000	0.000	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.477	0.301	0.301	0.000	0.000	0.000	0.477		0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.301	
NAGA	0.301	0.301	0.477	0.301	0.301	0.477	0.602	0.301	0.602	0.477	0.477	0.301	0.301	0.477	0.477	0.477	0.477	0.000	0.301	0.602	0.477	0.000	0.301	0.602	0.477	0.301	0.602	0.000	0.301	0.301	0.477	0.000	0.602	0.301	0.301	0.301	0.301	0.301	0.000	0.602	0.602	0.301	0.477	0.602	
NAGLU	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.301		0.000	0.000	0.301		0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000		0.000	0.301		0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	
NBL1			0.000							0.000			0.000	0.000						0.000	0.000			0.000	0.000		0.000	0.000														0.000			
NCEH1	0.301	0.301	0.301	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.477	0.301	0.477	0.477	0.301	0.301	0.477	0.301	0.000	0.301	0.477	0.477	0.301	0.301	0.301	0.301	0.000	0.000	0.477	0.477	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.477	
NCL	0.301	0.477	0.000	0.000	0.903	0.699	0.000	0.000	0.000	0.000	0.301	0.000			0.000	0.000	0.000	1.000		0.000		0.845	0.000	0.000	0.301	0.000	0.000	0.477	0.778	0.903	0.845		0.301	0.778	0.301	0.778	0.954	0.602	0.000	0.477	0.000	0.000	0.903	0.699	
NCSTN	0.903	1.000	1.000	1.114	1.079	0.903	1.041	1.079	0.903	1.041	0.954	0.954	1.000	1.000	1.000	1.079	1.041	1.041	1.041	1.041	0.903	0.778	0.778	0.903	0.845	0.845	1.041	1.114	0.903	1.041	1.000	0.778	0.903	1.000	1.041	1.114	1.000	1.114	0.602	1.000	1.000	0.845	0.903	1.079	
NEB		0.000					0.000					0.000			0.000								0.000		0.000			0.000													0.000				
NECTIN3				0.477			0.000	0.000		0.000		0.000				0.000	0.000	0.000		0.602					0.000									0.477											
NEMP1	0.301	0.301	0.000	0.000	0.000		0.301	0.000	0.000	0.000	0.000		0.000				0.000	0.000	0.301	0.000				0.301			0.000	0.000		0.000		0.000	0.000	0.000	0.301	0.301	0.301	0.000	0.301	0.000			0.000	0.301	
NEO1	0.000		0.477	0.477	0.000	0.000	0.602	0.477	0.602	0.000	0.477	0.477	0.000	0.477	0.301	0.477	0.477	0.000	0.000	0.477	0.301	0.000	0.602	0.301	0.301	0.000	0.301	0.000		0.000	0.000		0.477	0.602	0.301	0.000	0.301	0.477	0.477	0.699	0.602	0.301	0.000	0.602	
NEU1	0.000			0.301	0.000			0.000	0.000	0.000	0.301	0.000		0.301			0.301			0.000	0.000		0.000	0.000	0.000	0.000	0.000									0.000	0.000	0.000			0.000		0.000	0.000	
NFASC		0.000												0.000							0.000		0.301				0.000				0.000			0.000		0.000	0.000								
NID2	0.301	0.477	0.602	0.602	0.477	0.699	0.602	0.602	0.699	0.602	0.602	0.699	0.301	0.602	0.778	0.602	0.477	0.602	0.301	0.602	0.477	0.301	0.845	0.477	0.699	0.477	0.845	0.699	0.477	0.301	0.477	0.301	0.778	0.602	0.301	0.301	0.477	0.778	0.301	0.602	0.602	0.778	0.778	0.602	
NME2	0.000	0.602			0.477	0.477												0.477	0.301			0.845						0.000	0.000	0.602	0.602	0.477		0.301	0.000	0.602	0.477	0.477	0.477	0.477	0.000		0.699	0.301	
NOMO1	0.699	0.602	0.301	0.477	0.778	0.301	0.699	0.602	0.602	0.699	0.301	0.477	0.477	0.477	0.602	0.477	0.477	0.778	0.602	0.301	0.301	0.477	0.477	0.301	0.301	0.301	0.602	0.699	0.301	0.699	0.699	0.477	0.301	0.699	0.699	0.699	0.699	0.778	0.301	0.602	0.477	0.301	0.301	0.602	
NONO	0.000																	0.000				0.000							0.000		0.000			0.301		0.000	0.000	0.000					0.000	0.000	
NPC1	0.000		0.301	0.000	0.301	0.301	0.301	0.301		0.000	0.301	0.000	0.000		0.301	0.000	0.477	0.000		0.000		0.000	0.699			0.000	0.000	0.301			0.000		0.000			0.000		0.000		0.000	0.301	0.000	0.000	0.477	
NPC2	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	
NPM1	0.477	0.602			0.602	0.699	0.000	0.000				0.000				0.000	0.000	0.477	0.000		0.301	0.477						0.301	0.477	0.477	0.699	0.477		0.301	0.301	0.699	0.602	0.477	0.301	0.301	0.477		0.602	0.602	
NPR1	0.000	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.301	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.477	0.301	0.000	0.477	0.301		0.301	0.477	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.000		0.301	0.000	0.301	0.301	0.602	0.301	0.301	0.301	0.000	0.301	0.477	
NPTN	0.301	0.301	0.602	0.845	0.602	0.602	0.778	0.845	0.778	0.602	0.699	0.602	0.778	0.699	0.602	0.699	0.778	0.477	0.477	0.778	0.699	0.477	0.699	0.778	0.477	0.477	0.778	0.301	0.477	0.602	0.602	0.477	0.699	0.778	0.778	0.699	0.477	0.699	0.301	0.699	0.699	0.602	0.477	0.778	
NRCAM	0.602	0.477	0.301	0.954	0.778	0.477	0.602	0.602	0.602	0.699	0.477	0.778	0.845	0.602	0.845	0.477	0.903	0.477	0.602	0.602	0.477	0.602	0.699	0.602	0.301	0.000	0.845	0.699	0.477	0.699	0.477	0.000	0.699	0.699	0.477	0.699	0.699	0.301	0.301	0.699	0.845	0.477	0.000	0.845	
NRP1	0.000	0.000	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.000	0.301		0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	
NT5E	0.000	0.301	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.000	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.477	0.000	0.301	0.477	0.301	0.477	0.301	0.477	0.477	0.477	0.477	0.301	0.477	0.477	
NTM			0.000			0.000				0.000			0.000	0.000		0.000							0.000	0.000				0.000		0.301				0.000		0.301		0.000		0.000	0.000		0.301		
NTRK2																		0.000																										0.000	
NUP210	0.778	0.903	0.954	0.903	1.041	0.903	0.903	0.903	0.845	0.954	0.778	0.954	0.903	0.778	0.903	0.778	0.845	0.903	0.778	0.954	0.699	0.699	1.041	0.954	0.845	0.903	0.903	0.845	0.845	0.845	0.903	0.699	0.954	0.954	0.845	0.778	0.903	0.903	0.778	0.903	0.903	0.778	0.845	0.954	
OGN	0.301	0.000	0.000	0.301	0.000	0.602	0.477	0.301	0.699	0.301	0.301	0.301	0.477	0.000	0.477	0.000	0.301	0.000	0.000	0.477	0.000	0.000	0.602	0.301	0.301	0.301	0.301	0.000	0.301	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.477	0.477	0.602	0.477	
OLFM4	0.000	0.301	0.477	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000			0.477	0.602	0.477	0.477	0.000	0.000	0.699	0.000	0.301		0.477	0.301	0.000	0.000	0.000	0.301		0.301	0.301	0.477		0.000	
OLFML1	0.301	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.301	0.477	0.477	0.301	0.477	0.477	0.301	0.477	0.301	0.301	0.301	0.477	0.477	0.477	0.301	0.477	0.477	0.301	0.477	0.000	0.301	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.301	0.301	0.000	0.477	0.477	0.477	0.477	0.301	
OLFML2B										0.000					0.000		0.301			0.000			0.000			0.000																	0.000		
ORM1	0.602	0.699	0.602	0.602	0.699	0.699	0.778	0.778	0.602	0.477	0.699	0.845	0.699	0.477	0.699	0.602	0.778	0.602	0.699	0.602	0.602	0.699	0.699	0.845	0.602	0.602	0.845	0.699	0.954	0.602	0.699	0.699	0.602	0.845	0.602	0.602	0.845	0.602	0.602	0.699	0.778	0.602	0.699	0.699	
ORM2	0.699	0.477	0.301	0.602	0.602	0.602	0.778	0.602	0.000	0.602	0.602	0.602	0.602	0.477	0.602	0.602	0.477	0.699	0.602	0.000	0.301	0.000	0.477	0.477	0.000	0.477	0.477	0.477	0.477	0.602	0.602	0.477	0.000	0.699	0.699	0.477	0.477	0.477	0.301	0.903	0.602	0.301	0.477	0.477	
OSMR				0.000	0.000		0.477	0.301		0.000			0.000	0.000		0.000				0.477	0.000	0.000	0.477			0.000					0.000	0.000			0.000	0.301	0.301	0.000			0.000		0.477		
OSTM1	0.000	0.000	0.000	0.301		0.000	0.301	0.477	0.000	0.477	0.301	0.602	0.301	0.000	0.000	0.000	0.602	0.000	0.000	0.000	0.000		0.477	0.477		0.301	0.000	0.000	0.000		0.000	0.000	0.000	0.000		0.301	0.000			0.000	0.477	0.000	0.301	0.477	
OVGP1	0.000	0.000			0.000		0.000		0.477	0.000						0.000	0.000	0.000	0.000		0.778		0.000			0.000		0.000	0.000			0.000		0.477				0.000	0.000	0.000		0.477			
P2RX4	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.477	0.301	0.477	0.477	
P2RX7	0.477	0.000	0.000	0.000	0.301	0.000	0.477		0.000	0.301		0.000	0.301		0.000	0.000		0.000	0.000	0.000	0.301	0.000	0.000	0.000			0.477	0.000	0.301	0.301	0.000	0.000	0.477	0.000	0.000	0.477	0.000	0.301	0.000	0.301	0.000	0.000		0.477	
P3H1	0.301	0.477	0.000	0.301	0.477	0.301	0.477	0.477	0.301	0.602	0.000	0.301	0.477	0.477	0.301	0.477	0.477	0.301	0.477	0.000	0.301	0.000	0.301	0.477	0.000	0.301	0.477	0.301	0.301	0.477	0.477	0.301	0.301	0.602	0.477	0.301	0.477	0.477	0.301	0.477	0.000	0.000	0.477	0.602	
P3H4	0.301	0.301	0.477	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.000	0.301	0.301	
P4HA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
P4HA2	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.477	0.301	0.000	0.301	0.301	0.000	0.301	0.301	0.301		0.000	0.301	0.301	0.301	0.301	0.301		0.301	0.301	0.301	0.301	0.301	
P4HB	0.301	0.000			0.000	0.778	0.000											0.477	0.000			1.000						0.000	0.477		0.602	0.301		0.477		0.477	0.301	0.301	0.301				0.903	0.301	
PAMR1						0.000	0.000			0.477			0.000	0.000	0.301	0.000								0.000			0.000		0.000									0.000				0.000			
PARK7							0.000											0.000				0.000							0.000		0.000			0.301			0.000	0.000		0.000			0.301		
PCBP1																													0.000					0.301		0.000									
PCDH1	0.301	0.301	0.000	0.477	0.301	0.301	0.301	0.477	0.301	0.301	0.000	0.301	0.000	0.301	0.301	0.301	0.477	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.301		0.477	0.301	0.000	0.477	0.301	0.000	0.000	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.301	0.000	0.301	0.477	
PCDH19				0.301				0.000		0.000	0.000	0.000	0.000		0.000	0.000	0.301			0.000			0.301				0.000			0.000				0.000	0.000		0.000	0.000	0.301						
PCDH7			0.000	0.301				0.301	0.301			0.301	0.000				0.301	0.000		0.301			0.301	0.000	0.000	0.000	0.477															0.000		0.477	
PCYOX1	0.477	0.301	0.477	0.699	0.477	0.602	0.699	0.699	0.699	0.699	0.602	0.477	0.699	0.602	0.699	0.602	0.477	0.477	0.301	0.845	0.477	0.301	0.477	0.699	0.602	0.477	0.699	0.477	0.477	0.477	0.301	0.301	0.699	0.477	0.477	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.602	0.699	
PDGFC		0.301		0.000	0.000		0.000			0.301	0.000	0.000			0.301	0.000	0.000	0.301	0.000				0.000	0.000			0.000		0.000	0.301	0.000			0.301	0.301	0.301		0.000		0.000					
PDGFRB			0.000			0.000	0.000	0.000				0.000	0.000		0.000		0.301			0.000			0.602																	0.000	0.301		0.000	0.301	
PDIA3	0.000	0.602	0.000	0.000	0.845	0.954	0.301	0.000		0.000	0.000	0.000	0.000	0.000		0.000	0.000	1.000	0.301	0.301	0.000	0.903	0.301		0.301	0.000	0.000		0.602	0.699	0.903		0.477	1.079		0.954	0.903	0.602	0.778	0.301	0.000	0.000	1.146	0.778	
PDIA4		0.000			0.301	0.000					0.000							0.000			0.000	0.000	0.000											0.778				0.000					0.000		
PDIA6					0.301	0.000					0.000							0.000				0.301												0.477		0.301							0.000		
PEBP1					0.000	0.000						0.000						0.301				0.301									0.301					0.000	0.000	0.301							
PECAM1	0.477	0.301	0.699	0.602	0.477	0.477	0.477	0.602	0.845	0.602	0.301	0.602	0.477	0.477	0.477	0.699	0.602	0.301	0.301	0.477	0.477	0.301	0.778	0.602	0.301	0.301	0.477	0.301	0.602	0.477	0.477	0.000	0.477	0.477	0.000	0.477	0.301	0.477	0.301	0.602	0.301	0.602	0.778	0.477	
PFN1	0.602	0.602	0.000		0.602	0.778	0.301		0.000	0.000	0.000	0.000			0.000	0.000	0.000	0.699	0.602	0.301	0.000	0.778	0.000	0.000		0.000	0.301	0.301	0.602	0.602	0.778	0.301	0.301	0.602	0.477	0.602	0.602	0.699	0.699	0.602	0.301	0.000	0.778	0.602	
PGAM1		0.301			0.000														0.000			0.000								0.000				0.000		0.000		0.301					0.477	0.301	
