Gene	A6-3807-01A-22	A6-3808-01A-22	A6-3810-01A-22	AA-3518-01A-11	AA-3525-01A-12	AA-3526-01A-11	AA-3529-01A-12	AA-3531-01A-22	AA-3534-01A-22	AA-3552-01A-22	AA-3554-01A-22	AA-3558-01A-22	AA-3561-01A-22	AA-3664-01A-22	AA-3666-01A-31	AA-3672-01A-22	AA-3684-01A-31	AA-3695-01A-22	AA-3710-01A-22	AA-3715-01A-22	AA-3818-01A-22	AA-3848-01A-22	AA-3864-01A-22	AA-3986-01A-12	AA-3989-01A-22	AA-A004-01A-22	AA-A00A-01A-22	AA-A00A-01A-41	AA-A00E-01A-31	AA-A00F-01A-31	AA-A00J-01A-12	AA-A00K-01A-12	AA-A00K-01A-31	AA-A00N-01A-32	AA-A00N-01A-41	AA-A00O-01A-13	AA-A00R-01A-22	AA-A00R-01A-31	AA-A00U-01A-41	AA-A010-01A-31	AA-A017-01A-22	AA-A01C-01A-22	AA-A01D-01A-23	AA-A01F-01A-23	AA-A01I-01A-12	AA-A01K-01A-31	AA-A01P-01A-23	AA-A01R-01A-23	AA-A01S-01A-23	AA-A01T-01A-23	AA-A01V-01A-24	AA-A01X-01A-23	AA-A01Z-01A-13	AA-A022-01A-23	AA-A024-01A-32	AA-A029-01A-41	AA-A02E-01A-23	AA-A02H-01A-32	AA-A02J-01A-23	AA-A02O-01A-23	AA-A02R-01A-23	AA-A02Y-01A-31	AA-A03F-01A-41	AA-A03J-01A-23	AF-2691-01A-41	AF-2692-01A-41	AF-3400-01A-41	AF-3913-01A-12	AG-3574-01A-22	AG-3580-01A-22	AG-3584-01A-22	AG-3593-01A-22	AG-3594-01A-12	AG-4007-01A-22	AG-A002-01A-23	AG-A008-01A-23	AG-A00C-01A-23	AG-A00H-01A-22	AG-A00H-01A-31	AG-A00Y-01A-12	AG-A011-01A-32	AG-A014-01A-12	AG-A015-01A-51	AG-A016-01A-23	AG-A01J-01A-22	AG-A01L-01A-22	AG-A01N-01A-23	AG-A01W-01A-23	AG-A01Y-01A-43	AG-A020-01A-23	AG-A026-01A-71	AG-A02N-01A-31	AG-A02X-01A-32	AG-A032-01A-31	AG-A036-01A-22
COPS7B			0.000			0.301	0.000	0.477			0.000	0.000	0.301			0.000		0.301	0.000		0.000	0.301	0.301		0.000		0.000			0.000	0.000					0.000	0.301	0.301	0.000		0.000	0.000		0.301	0.000	0.301		0.301		0.301	0.000	0.000		0.000	0.000			0.000	0.000	0.000	0.000	0.301		0.301		0.000	0.000			0.477	0.000	0.000		0.000	0.000	0.000	0.000				0.000	0.000					0.301		0.000			0.301	0.301	0.000	0.000	
COPS8	0.301	0.000	0.301	0.477	0.000	0.301	0.000	0.477	0.000	0.000	0.000	0.000	0.477	0.301	0.301	0.477	0.301	0.301	0.301	0.000	0.301	0.301	0.602	0.301	0.477	0.000	0.301	0.301	0.301	0.000	0.477	0.301	0.000	0.301	0.000	0.301	0.477	0.301	0.000	0.000	0.477	0.301	0.000	0.477	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.477	0.000	0.301	0.301	0.000	0.000	0.301	0.301	0.301	0.477	0.000	0.301	0.301	0.477	0.602	0.000	0.000	0.000	0.477	0.000	0.301	0.301	0.301	0.301	0.301	0.301	0.301	0.000	0.000	0.477	0.301	0.301	0.477	0.000	0.000	0.000	0.301	0.301	0.000	0.301	0.301	0.301	0.000	0.477	
COPZ1	0.602	0.602	0.477	0.699	0.778	0.602	0.602	0.602	0.602	0.778	0.699	0.699	0.602	0.477	0.699	0.699	0.699	0.699	0.602	0.301	0.477	0.699	0.778	0.602	0.778	0.602	0.699	0.699	0.778	0.778	0.602	0.477	0.477	0.602	0.699	0.903	0.602	0.778	0.602	0.699	0.699	0.699	0.699	0.699	0.778	0.778	0.699	0.699	0.699	0.778	0.699	0.602	0.301	0.699	0.602	0.699	0.602	0.699	0.699	0.699	0.778	0.699	0.602	0.477	0.602	0.699	0.602	0.602	0.602	0.778	0.699	0.699	0.778	0.602	0.699	0.699	0.602	0.602	0.699	0.602	0.699	0.602	0.602	0.602	0.699	0.602	0.477	0.778	0.477	0.699	0.602	0.602	0.602	0.699	0.602	
COQ5	0.477		0.477	0.602		0.301	0.000	0.301	0.477	0.301	0.000	0.477	0.000	0.000	0.000	0.000	0.602		0.000		0.477	0.602		0.477	0.477	0.699		0.000	0.000	0.000	0.301	0.000				0.477			0.301	0.477	0.477	0.602				0.301		0.301	0.000	0.000		0.000	0.000	0.477	0.301	0.301	0.301	0.602	0.000	0.602	0.477	0.301	0.301	0.477		0.000		0.000	0.000		0.301	0.000	0.000	0.301	0.000	0.602		0.000	0.477	0.000	0.000	0.000	0.477	0.000	0.301	0.301	0.602	0.301		0.000	0.778	0.000	0.000	0.000	0.000	
COQ6	0.000		0.000			0.301	0.301	0.301		0.000	0.000	0.000		0.477	0.301							0.602					0.301			0.301	0.301		0.000		0.000	0.000		0.000			0.301			0.000	0.301	0.000		0.301	0.602	0.602		0.477	0.301	0.477		0.000	0.000	0.301		0.000	0.000	0.301	0.301	0.301	0.000	0.000	0.000		0.301	0.000	0.301			0.000					0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.602	0.301			0.477	0.301	0.000		0.000	
COQ7			0.000			0.301	0.000	0.301	0.000	0.000	0.000	0.301		0.000					0.000		0.000	0.000			0.000	0.000	0.301		0.000							0.301	0.000	0.301	0.477	0.000	0.000	0.000				0.000		0.000		0.301		0.000	0.000	0.000		0.000	0.000			0.000		0.000	0.000	0.000		0.000				0.000				0.000		0.000			0.000			0.000			0.000	0.301	0.602				0.000					
COQ9	0.602	0.000	0.477	0.477		0.477	0.477	0.301	0.301	0.301	0.477	0.699	0.301	0.301	0.477	0.000	0.602	0.000	0.477		0.000	0.477		0.000	0.602	0.602	0.602	0.301	0.301	0.301	0.477		0.301		0.000	0.602	0.301		0.301	0.602	0.477	0.602	0.477	0.301	0.000	0.602		0.602	0.602	0.477	0.477	0.477	0.477	0.301	0.301	0.477	0.477	0.602	0.301	0.301	0.602	0.477	0.301	0.477		0.602	0.000	0.301	0.000	0.301	0.301	0.477	0.477	0.301	0.000	0.477	0.000	0.477	0.477	0.477	0.602	0.477	0.699	0.301	0.477	0.000	0.301	0.301	0.477		0.778	0.602		0.602	0.301	
CORO1A	1.079	1.000	0.845	1.114	0.903	1.000	1.041	0.903	0.903	0.954	1.079	1.079	1.079	0.778	0.903	1.230	1.041	0.954	1.322	0.954	1.000	1.204	0.845	0.845	1.114	1.079	1.000	0.954	1.114	1.041	0.954	0.845	0.845	1.041	1.114	1.114	1.255	1.176	0.954	1.146	1.176	1.041	1.000	1.000	0.903	1.000	1.146	1.279	0.778	0.954	1.176	1.000	0.845	0.903	0.602	0.845	0.845	0.903	0.845	0.845	1.114	1.079	1.000	1.041	1.000	1.041	1.204	1.000	0.602	1.079	0.903	1.000	1.146	1.041	1.000	0.954	0.903	1.279	1.000	1.114	1.204	1.204	0.954	1.000	1.000	1.000	1.041	1.041	1.000	0.954	1.000	0.954	0.602	0.845	0.954	
CORO1B	0.903	0.699	0.699	0.699	0.602	0.477	0.954	0.301	0.602	0.845	0.903	0.778	0.903	0.903	0.699	0.477	0.699	0.699	0.903	0.778	0.954	0.778	1.000	0.699	0.778	0.778	0.699	0.699	0.845	0.954	0.699	0.301	0.477	0.301	0.903	0.954	0.699	0.778	0.845	0.845	0.954	0.903	0.477	0.699	0.903	0.778	0.699	0.954	0.778	0.477	0.845	0.602	0.699	0.845	1.000	0.778	0.699	0.903	0.602	0.903	0.778	0.903	0.602	0.699	0.477	0.903	0.845	0.845	0.845	0.699	0.699	0.699	0.845	0.699	0.602	0.602	0.699	0.845	0.699	0.778	0.778	0.903	0.699	0.602	0.903	0.845	0.602	0.477	0.845	0.845	0.477	0.699	0.000	0.477	0.602	
CORO1C	0.602	1.079	0.845	0.954	0.602	0.845	1.079	0.845	0.954	0.954	1.041	0.903	1.114	0.778	1.000	0.954	1.041	0.845	1.204	0.778	1.079	1.000	1.079	0.845	0.954	0.778	0.845	0.954	1.000	0.699	1.000	0.778	1.255	0.699	0.778	1.114	0.903	1.079	0.903	0.954	1.146	0.954	0.845	0.778	0.778	1.114	0.954	1.146	0.845	0.778	1.041	0.954	0.699	0.903	0.845	0.903	0.954	0.699	0.602	1.000	0.954	1.114	0.954	1.000	0.699	1.176	0.903	1.041	0.954	0.845	0.954	0.778	0.954	1.041	0.699	0.778	0.778	0.845	0.903	1.041	1.079	1.146	0.778	0.845	1.114	0.778	0.954	0.602	1.342	0.699	1.000	0.954	0.778	0.845	1.041	
CORO2A	0.000			0.301		0.301		0.301			0.000	0.000			0.477	0.000	0.000		0.000						0.000	0.000			0.301											0.301		0.000		0.000		0.000	0.000		0.000	0.301			0.301	0.477	0.000	0.477	0.602					0.301	0.000		0.000	0.301					0.477		0.301		0.000		0.000		0.000	0.000		0.301				0.000	0.477				0.000			0.000		
CORO7	0.903	0.602	0.903	1.146	0.602	1.000	0.845	0.845	0.954	0.903	1.000	1.041	1.041	0.903	0.845	0.778	1.000	0.845	0.903	0.477	0.699	1.041	0.699	0.845	1.114	0.954	0.954	0.954	0.954	1.079	0.903	0.602	0.778	0.845	0.602	0.845	1.041	1.041	0.903	0.903	1.000	0.903	0.699	1.000	1.000	1.041	0.602	1.079	0.954	1.146	0.954	0.778	0.845	1.000	0.903	0.903	1.000	1.000	0.699	0.903	0.954	0.954	0.954	1.000	0.954	1.079	0.845	0.903	0.602	0.903	0.845	0.845	1.000	0.845	0.602	1.079	0.903	1.041	0.954	0.903	0.903	1.176	1.041	0.699	0.903	1.000	1.000	0.778	0.477	0.845	0.954	0.903	0.602	0.903	0.903	
COTL1	0.699	0.778	0.477	0.845	0.602	0.699	0.778	0.477	0.477	0.778	0.602	0.778	0.477	0.602	0.903	0.699	0.954	0.699	0.845	0.778	0.845	0.778	0.602	0.699	0.477	0.845	0.699	0.699	0.903	0.699	0.602	0.699	0.699	0.301	0.477	0.845	0.845	0.845	0.778	0.699	0.903	0.845	0.477	0.602	0.778	0.954	0.602	0.903	0.602	0.602	0.954	0.699	0.477	0.845	0.477	0.845	0.602	0.778	0.602	0.477	0.778	0.845	0.778	0.699	0.301	0.778	0.778	0.778	0.699	0.602	0.699	0.602	0.845	0.699		0.699	0.602	0.903	0.602	0.778	0.903	0.954	0.602	0.602	0.778	0.602	0.602	0.699	0.845	0.699	0.699	0.699	0.477	0.477	0.778	
COX15	0.000						0.000	0.000		0.000		0.301	0.000		0.301	0.000											0.000	0.301			0.000					0.602			0.000					0.000	0.000			0.000	0.000			0.000			0.000					0.000		0.000			0.301					0.000			0.000				0.000			0.000							0.000				0.000					
COX2	0.602	0.602	0.602	0.699	0.477	0.477	0.602	0.301	0.778	0.699	0.602	0.477	0.477	0.699	0.699	0.602	0.778	0.699	0.602	0.301	0.602	0.602	0.699	0.699	0.602	0.845	0.602	0.602	0.778	0.699	0.477	0.477	0.602	0.602	0.602	0.699	0.602	0.602	0.699	0.699	0.778	0.845	0.000	0.602	0.602	0.602	0.301	0.845	0.778	0.699	0.477	0.477	0.602	0.778	0.699	0.845	0.845	0.602	0.602	0.602	0.954	0.845	0.699	0.699	0.000	0.778	0.699	0.778	0.477	0.301	0.602	0.602	0.602	0.477	0.602	0.699	0.301	0.602	0.699	0.845	0.602	0.602	0.778	0.602	0.778	0.602	0.699	0.301	0.602	0.602	0.699	0.602	0.602	0.602	0.477	
COX20		0.000	0.000	0.000	0.000		0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000				0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301		0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000			0.000	0.000			0.000	0.301	0.000		0.301		0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.000		0.000	0.000	
COX4I1	0.778	0.477	0.699	0.699	0.477	0.602	0.845	0.602	0.778	0.699	0.699	0.845	0.699	0.602	0.903	0.602	0.778	0.699	0.845	0.477	0.477	0.778	0.778	0.602	0.903	0.778	0.699	0.602	0.778	0.699	0.602	0.699	0.477	0.477	0.602	0.778	0.602	0.845	0.845	0.778	0.778	0.778	0.477	0.699	0.845	0.602	0.477	0.903	0.778	0.699	0.845	0.477	0.699	0.845	0.699	0.778	0.699	0.778	0.301	0.477	0.602	0.778	0.778	0.699	0.477	0.602	0.699	0.778	0.602	0.477	0.477	0.778	0.778	0.602	0.602	0.699	0.477	0.778	0.699	0.778	0.954	0.778	0.778	0.477	0.845	0.699	0.699	0.602	0.602	0.602	0.699	0.778	0.602	0.602	0.477	
COX5A	0.477	0.000	0.301	0.477	0.602	0.301	0.477	0.301	0.602	0.477	0.477	0.602	0.602	0.477	0.699	0.699	0.477	0.301	0.602	0.301	0.602	0.778	0.602	0.778	0.602	0.699	0.699	0.477	0.477	0.954	0.602	0.477	0.301	0.301	0.477	0.602	0.602	0.602	0.699	0.699	0.602	0.699	0.301	0.699	0.699	0.699	0.602	0.699	0.602	0.602	0.903	0.602	0.301	0.699	0.602	0.602	0.301	0.778	0.301	0.699	0.778	0.699	0.602	0.602	0.301	0.477	0.602	0.477	0.699	0.477	0.301	0.477	0.301	0.477	0.477	0.602	0.699	0.699	0.602	0.845	0.699	0.699	0.699	0.602	0.699	0.699	0.477	0.602	0.602	0.602	0.699	0.602	0.602	0.602	0.477	
COX5B	0.301	0.000	0.000	0.301	0.477	0.602	0.602	0.477	0.602	0.602	0.000	0.000	0.301	0.477	0.602	0.000	0.602	0.602	0.477		0.477	0.602	0.301	0.602	0.301	0.845	0.699	0.602	0.699	0.699	0.699	0.477	0.477	0.301	0.301	0.778	0.699	0.845	0.699	0.602	0.699	1.000	0.301	0.301	0.845	0.699	0.477	0.699	0.778	0.903	0.602	0.602	0.301	0.699	0.699	0.699	0.699	0.778	0.301	0.477	0.778	0.699	0.778	0.778	0.000	0.477	0.477	0.000	0.602	0.000	0.301	0.301	0.301	0.477	0.000	0.845	0.477	0.477	0.699	0.903	0.699	0.778	0.699	0.602	0.699	0.602	0.778	0.699	0.602	0.477	0.699	0.477	0.301	0.602	0.602	
COX6B1	0.477	0.301	0.477	0.699	0.301	0.301	0.602	0.000	0.477	0.301	0.477	0.477	0.477		0.602	0.602	0.699	0.477	0.477	0.000	0.477	0.602	0.477	0.477	0.477	0.602	0.602	0.477	0.602	0.602	0.699	0.301	0.477	0.602	0.301	0.699	0.602	0.602	0.477	0.699	0.778	0.602	0.602	0.301	0.602	0.602	0.477	0.845	0.602	0.477	0.477	0.477	0.602	0.778	0.477	0.477	0.477	0.602	0.301	0.477	0.778	0.699	0.602	0.602	0.000	0.602	0.477	0.602	0.602	0.477	0.000	0.602	0.301	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.778	0.699	0.602	0.602	0.602	0.477	0.301	0.602	0.602	0.602	0.602	0.699	0.000	0.602	0.602	
COX6C	0.602	0.000	0.602	0.477	0.301	0.477	0.477	0.477	0.477	0.602	0.602	0.301	0.602	0.602	0.602	0.602	0.602	0.699	0.602	0.000	0.602	0.602	0.602	0.477	0.477	0.699	0.602	0.000	0.602	0.477	0.602	0.000	0.301	0.000	0.477	0.477	0.602	0.602	0.602	0.778	0.699	0.778		0.477	0.602	0.602	0.000	0.699	0.602	0.602	0.602	0.477	0.000	0.778	0.301	0.602	0.477	0.477	0.000	0.477	0.602	0.699	0.602	0.699	0.301	0.778	0.477	0.477	0.602	0.477	0.602	0.477	0.477	0.000	0.301	0.301	0.301	0.602	0.602	0.602	0.699	0.699	0.602	0.602	0.699	0.602	0.602	0.602	0.699	0.477	0.602	0.602	0.000	0.602	0.602	
COX7A2	0.477	0.301	0.301	0.477	0.602	0.477	0.301	0.301	0.301	0.301	0.477	0.301	0.477	0.477	0.477	0.477	0.602	0.301	0.477	0.301	0.301	0.301	0.477	0.477	0.477	0.602	0.477	0.301	0.602	0.602	0.602	0.477	0.301	0.301	0.477	0.477	0.477	0.477	0.477	0.602	0.301	0.602	0.301	0.602	0.602	0.477	0.477	0.477	0.477	0.602	0.477	0.477	0.301	0.477	0.477	0.477	0.477	0.699	0.301	0.301	0.477	0.602	0.477	0.699	0.477	0.477	0.477	0.301	0.301	0.301	0.477	0.477	0.602	0.477	0.602	0.477	0.602	0.301	0.477	0.477	0.602	0.477	0.602	0.602	0.477	0.477	0.301	0.477	0.301	0.477	0.477	0.477	0.301	0.477	0.602	
COX7A2L	0.301		0.301	0.000	0.000	0.301	0.000	0.000	0.301	0.301	0.000	0.000	0.000	0.602	0.000	0.301	0.000	0.000	0.000		0.301	0.301	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.301	0.000	0.000			0.000	0.301	0.301	0.000	0.000	0.000	0.301	0.301		0.000	0.000	0.000		0.000	0.000	0.477	0.000	0.000		0.000	0.301	0.301	0.301	0.000	0.301		0.301	0.000	0.301	0.477		0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301	0.000	0.000	0.301	0.000	0.301	0.000	0.000	0.301		0.301	0.000	0.301	0.301	
COX7C	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000			0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.301	0.000	0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.301		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
CP	1.041	1.000	0.954	1.204	0.699	0.903	1.041	0.602	1.079	0.477	0.954	1.176	0.699	0.699	0.778	1.079	0.903	0.699	1.176	0.477	1.176	1.041	0.301	1.204	0.602	1.041	0.699	1.114	1.146	0.845	1.041	0.699	1.079	1.342	1.230	1.176	1.204	1.114	1.114	1.301	1.255	0.778	1.079	0.602	0.602	1.000	1.146	1.079	1.146	0.845	1.146	0.477	0.602	1.279	1.146	0.778	0.778	0.845	0.301	0.778	1.114	0.903	0.778	0.301	0.301	0.954	1.301	0.903	0.778	0.903	0.477	0.699	0.903	0.699	0.903	0.778	0.301	1.000	0.778	0.845	0.903	1.146	0.477	0.477	0.903	0.778	0.699	1.041	1.114	1.000	0.903	0.477	0.699	0.301	0.699	
CPA3	0.602	1.000	0.301	0.602	0.000	0.301	0.699	0.301	0.477	0.477	0.602			0.477		0.301	0.699		0.301	0.778		0.301		1.000		0.845	0.000			0.602		0.477	0.301				0.477			0.845		0.477				0.699	0.301	0.602		0.602	0.000		0.000	0.477		0.477	0.301				0.699	0.778				0.301			0.477	0.000	0.699		0.602	0.477	0.000	0.301		0.778	0.477		0.699	0.477			0.903	0.301	0.000	0.301	0.699				0.301		0.477	
CPB2		0.301	0.000	0.000								0.477																0.000						0.477	0.602	0.000																		0.000	0.000											0.301	0.477	0.000	0.000																											
CPD	0.477			0.602	0.000	0.301	0.301	0.477	0.301	0.000	0.000	0.000	0.301	0.699	0.301	0.000	0.000	0.477	0.301		0.301	0.477	0.602	0.000	0.301	0.477	0.000	0.000	0.699	0.000	0.477	0.301							0.903	0.477	0.000	0.301		0.699	0.477	0.301	0.000	0.000	0.699	0.602	0.301	0.000	0.000	0.301	0.602	0.477	0.000	0.602	0.000	0.477	0.000	0.699	0.301	0.477	0.602	0.301	0.301	0.000		0.477	0.301	0.477	0.477	0.477	0.477	0.699	0.477	0.301	0.301	0.477	0.000	0.000	0.477	0.477	0.000	0.000	0.301	0.000		0.602	0.699		0.477	0.301	0.000	
CPE								0.000																							0.000					0.000														0.301																	0.301											0.301			0.000												0.000			
CPN2				0.301													0.000																	0.000	0.301													0.000		0.000																	0.301																								0.000					
CPNE1	0.845	0.602	0.903	0.301	0.477	0.699	0.778	0.778	0.699	0.699	0.602	0.699	1.000	0.602	1.000	0.845			0.699	0.301	0.477	0.903	0.778	0.903	0.845	0.477	0.477	0.699	0.778	0.699	0.000	0.778	0.778	0.602	0.477	1.079	0.954	0.778	0.778	0.602	0.845	0.903	0.778	0.845	0.602	0.778	0.699	0.954	0.602	0.602	0.699	0.845	0.301	0.845	0.845	0.602	0.845	0.699	0.477	0.699	0.778	1.000	0.301	1.041	0.477	0.845	0.602	0.778	0.778	0.903	0.778	0.477	0.602	0.602	0.699	0.903	0.845	0.903	0.778	0.778	0.845	1.079	0.778	0.903	0.845	0.778	0.000	0.778	0.778	0.845	1.079	0.602	0.000	0.845	0.778	
CPNE2	0.301		0.000	0.301	0.000	0.301	0.000	0.301		0.000		0.301	0.301	0.000			0.301		0.000	0.000			0.000		0.301	0.301	0.602	0.000	0.000			0.000		0.301		0.477		0.301		0.000	0.477	0.301	0.000	0.477			0.301	0.699		0.301	0.000	0.301				0.301		0.301	0.000		0.000	0.000	0.301	0.477	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.301	0.301				0.000	0.000	0.301	0.000	0.301	0.301	0.000	0.477	0.301		0.301	0.000		0.000	0.301	0.000		0.000	0.000	
CPNE3	0.954	0.778	0.778	0.954	0.477	0.778	1.114	0.602	0.778	1.000	0.954	0.954	0.699	1.000	0.903	1.041	0.699	1.041	1.146	0.477	0.954	1.041	0.954	0.954	0.602	0.845	0.903	1.000	1.041	0.699	0.699	0.778	0.845	0.602	0.301	1.000	1.000	1.146	1.000	0.954	1.041	0.778	0.477	0.602	0.778	1.041	1.041	1.041	1.114	0.903	0.778	0.602	0.301	1.000	0.845	1.114	1.000	0.778	0.699	0.954	0.903	0.845	0.954	0.699	0.602	0.845	0.778	0.845	1.146	0.699	0.602	0.699	0.778	0.602	0.845	0.778	0.477	1.146	0.778	0.954	0.845	1.114	0.845	0.477	1.079	0.903	0.903	0.699	0.954	0.477	1.114	0.903	0.602	0.778	0.301	
CPOX	0.699	0.000	0.778	0.903	0.778	0.477	0.602	0.301	0.000		0.778	0.778	0.477	0.845	0.903	0.699	0.602	0.602	0.778	0.602	0.602	0.477	1.000	0.602	0.778	0.477	0.699	0.477	0.602	0.000	0.845	0.477	0.000	0.301	0.301	0.602	0.477	0.602	0.477	0.602	0.845	0.602	0.000	0.602	0.602	0.602	0.477	0.778	0.602	0.301	0.778	0.845	0.477	0.903	0.602	0.602	0.699	0.477	0.000	0.699	0.602	0.602	0.602	0.778	0.602	0.845	0.301	0.845	0.301	0.000	0.301	0.602	0.602	0.699	0.602	0.699	0.699	0.477	0.602	0.778	0.602	0.845	0.602	0.699	0.000	0.699	0.477	0.699	0.000	0.602	0.699	0.699	0.301	0.602	0.602	
CPPED1					0.000	0.000		0.000	0.000				0.000								0.477			0.477			0.301	0.301	0.000	0.477	0.000	0.000	0.000	0.301		0.477	0.301	0.301	0.000	0.000		0.301		0.000	0.000		0.602		0.301	0.000	0.000	0.000		0.477	0.301	0.000	0.000	0.301		0.301	0.000	0.000		0.000		0.000	0.000		0.301	0.000			0.000	0.000	0.000	0.477		0.301	0.000	0.477	0.000	0.000				0.477	0.477		0.000	0.000		0.000	0.000	0.000	0.000	
CPQ																															0.000				0.000																		0.301				0.301									0.000			0.845																										0.301	
CPS1									0.301			0.000			0.699	0.602	1.000						0.000			1.591	0.602			0.954	0.477							0.301		0.000		0.301	0.954			1.204					0.301			1.230	1.447	0.301		0.477			0.301	0.000	0.602	0.000	0.477		0.000			0.301				0.602	0.000	0.000			0.477		1.415		0.301	0.477						1.362		1.623	0.301			
CPSF1	0.301	0.301	0.477	0.602	0.477	0.301	0.602	0.602	0.301	0.602	0.301	0.602	0.477	0.845	0.301	0.903	0.301	0.778	0.477	0.000	0.301	0.699	0.602	0.301	0.602	0.477	0.602	0.000	0.301	0.000	0.602	0.699	0.000	0.301	0.000	0.301	0.301	0.477	0.477	0.000	0.602	0.477	0.000	0.301	0.301	0.477	0.477	0.903	0.602	0.301	0.477	0.699	0.301	0.602		0.602	0.699	0.301	0.301	0.778	0.301	0.301	0.301	0.699	0.301	0.602		0.602	0.301	0.301	0.477	0.477	0.301	0.477	0.699	0.602	0.699	0.477	0.301	0.477	0.602	0.699	0.699	0.477	0.301	0.477	0.845	0.477	0.000	0.301	0.602	0.699	0.301	0.602	0.000	
CPSF2	0.602	0.000	0.301	0.301	0.000	0.301	0.602	0.477	0.000	0.602	0.602	0.602	0.602	0.699	0.477	0.778	0.301	0.778	0.602	0.000	0.000	0.699	0.845	0.477	0.845	0.477	0.602	0.301	0.602	0.477	0.477	0.000	0.000		0.000	0.301	0.301	0.602	0.477		0.477	0.477	0.301	0.845	0.602	0.778	0.477	0.903	0.778	0.477	0.602	0.778	0.000	0.477	0.301	0.000	0.000	0.602	0.477	0.602	0.477	0.301	0.301	0.602	0.477	0.699		0.477	0.477	0.699	0.477	0.602	0.477	0.699	0.000	0.699	0.699	0.477	0.000	0.477	0.301	0.301	0.477	0.477	0.477	0.000	0.301	0.301	0.000	0.602	0.602	0.602	0.301	0.699	0.477	
CPSF3							0.301	0.301		0.477	0.301	0.000	0.301	0.301	0.000		0.000	0.477	0.301	0.000		0.477	0.000	0.000			0.000	0.000	0.000	0.000	0.301	0.000				0.301	0.000	0.000	0.477		0.477	0.000			0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477		0.301	0.000	0.000				0.301	0.000	0.301		0.602	0.301	0.301	0.000		0.000	0.000	0.000			0.602		0.301	0.000	0.000		0.000	0.301	0.477	0.000	0.301	0.000		0.000			0.000	0.000	0.477			0.301	
CPSF3L	0.000		0.000	0.301	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000						0.000		0.000			0.000		0.000		0.000								0.000	0.000	0.000		0.301	0.000		0.000	0.000	0.000		0.301	0.000	0.000	0.301	0.000				0.301	0.000	0.000		0.000		0.000		0.000	0.000	0.000				0.000	0.000	0.000			0.000	0.301	0.000	0.301		0.000	0.000	0.000	0.000	0.301	0.000	0.000	0.000	0.000			0.000	0.301		0.000		
CPSF6	0.477	0.000	0.477	0.301	0.301	0.602	0.778	0.477	0.477	0.602	0.602	0.477	0.477	0.477	0.699	0.602	0.602	0.477	0.602		0.602	0.602	0.477	0.602	0.602	0.477	0.477	0.301	0.699	0.699	0.301	0.477	0.000	0.301	0.000	0.602	0.301	0.699	0.778	0.602	0.602	0.602	0.477	0.301	0.477	0.778	0.602	0.845	0.845	0.301	0.778	0.477		0.477	0.602	0.477	0.699	0.699	0.301	0.477	0.477	0.602	0.301	0.602	0.301	0.699	0.000	0.477	0.778	0.000	0.477	0.000	0.602		0.477	0.699	0.000	0.477	0.301	0.699	0.699	0.602	0.778	0.000	0.477	0.301	0.699	0.602	0.301	0.477	0.778	0.301	0.000	0.602	0.000	
